,category,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score
0,Cocktail,Highball glass,"['Soda water', 'Light Rum', 'Lime', 'Mint', 'Sugar']",177,10,10.0
1,Cocktail,Old-fashioned glass,"['Water', 'Sugar', 'Angostura Bitters', 'Bourbon']",218,10,5.999999999999999
2,Ordinary Drink,Highball glass,"['Light Rum', 'lemon', 'Vodka', 'Gin', 'Tequila', 'Coca-Cola']",152,20,5.999999999999999
3,Ordinary Drink,Old-fashioned glass,"['Sweet Vermouth', 'Gin', 'Campari']",44,13,4.0
4,Ordinary Drink,Old-fashioned glass,"['Powdered Sugar', 'lemon', 'Blended Whiskey', 'Cherry']",148,10,10.0
5,Cocktail,Cocktail glass,"['Dry Vermouth', 'Gin', 'Olive']",184,13,5.999999999999999
6,Ordinary Drink,Cocktail glass,"['Light Rum', 'Lime', 'Powdered Sugar']",94,10,2.0
7,Ordinary Drink,Cocktail glass,"['Tequila', 'Lime Juice', 'Salt', 'Triple Sec']",301,10,10.0
8,Cocktail,Cocktail glass,"['Angostura Bitters', 'Bourbon', 'Ice', 'Maraschino Cherry', 'Orange Peel', 'Sweet Vermouth']",74,10,8.0
9,Punch / Party Drink,Copper Mug,"['Vodka', 'Ginger Ale', 'Lime Juice']",104,13,8.0
10,Ordinary Drink,Cocktail glass,"['Apricot Brandy', 'Lime', 'Triple Sec']",117,8,5.999999999999999
11,Ordinary Drink,Cocktail glass,"['Apricot Brandy', 'Lemon Juice', 'Triple Sec']",72,8,5.999999999999999
12,Ordinary Drink,Highball glass,"['Amaretto', 'Lemon Juice', 'Sloe Gin', 'Southern Comfort']",119,7,5.999999999999999
13,Ordinary Drink,Cocktail glass,"['Gin', 'Lemon Peel', 'Orange Bitters', 'Yellow Chartreuse']",105,10,4.0
14,Ordinary Drink,Cocktail glass,"['Gin', 'Creme De Cacao', 'Light Cream', 'Nutmeg']",107,10,4.0
15,Ordinary Drink,Whiskey Glass,"['Brandy', 'Creme De Cacao', 'Light Cream', 'Nutmeg']",123,10,4.0
16,Ordinary Drink,Cocktail glass,"['Lemon vodka', 'Pineapple Juice', 'Triple Sec']",84,10,5.999999999999999
