,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score,Cocktail,Ordinary Drink,Punch / Party Drink,ingredient_pc1,ingredient_pc2,ingredient_pc3,ingredient_pc4,ingredient_pc5,ingredient_pc6,ingredient_pc7,ingredient_pc8,ingredient_pc9,ingredient_pc10
0,3,5,177,10,10.0,1,0,0,-0.0149818019674825,-0.4610439917163237,-0.001450561280928665,0.00017892601277810094,0.0016134610580523453,-0.0005756632151674738,-0.0014485425052987218,-0.00041853985833254707,0.002628601924816532,0.0001448046175211134
1,2,4,218,10,5.999999999999999,1,0,0,-0.01498180196748635,-0.012420892821273054,-0.03413448619695184,-0.045671218235322046,-0.008036103122399685,0.016703618886793583,0.007225461311104618,0.0017569479360151571,-0.023009195491249704,-0.001688400099160309
2,3,6,152,20,5.999999999999999,0,1,0,-0.014981801967482429,-0.002641998766070743,-0.011710934898841095,-0.02644785011226354,-0.012697324983784909,0.00963237628783232,-0.0004290410443561233,-0.0022462416502817234,0.004643494893099754,0.0001032472286006196
3,2,3,44,13,4.0,0,1,0,-0.014981801967482434,-0.00294864101304943,0.05210470052316513,0.10817818528004966,0.056743498167226764,0.0011926476317955983,-0.0064319281257890935,-0.0767955920554403,-0.04735902539582645,0.10520742324234357
4,2,4,148,10,10.0,0,1,0,-0.01498180196748242,-0.0035023006256494084,-0.01576563030795772,0.031991997786556176,-0.05697219835240628,-0.04806056826979232,-0.03304480887347349,-0.09279353322561665,0.016541853840003385,0.03222688480939077
5,1,3,184,13,5.999999999999999,1,0,0,-0.014981801967482503,-0.002420534921030989,0.03728485471367614,0.008281025520009712,0.02591206898810979,0.08378127748488032,0.047399128017473265,-0.06029136393080622,-0.012646447342657133,-0.005928718908904997
6,1,3,94,10,2.0,0,1,0,-0.014981801967482422,-0.002624963085683287,-0.039882969183700746,0.022108116806005617,0.01994354661344442,-0.032227212693479,0.06201923282028131,-0.05816127766580861,-0.040908113400899164,0.018234067425867365
7,1,4,301,10,10.0,0,1,0,-0.014981801967482378,-0.0033063903011909517,0.05634695013421216,0.0933666586048497,-0.0020859087219358297,-0.07030272832334702,-0.027392548821420597,0.027337124457153496,0.042887743241353846,0.02099891159852879
8,1,6,74,10,8.0,1,0,0,-0.014981801967482422,-0.0031189978169263504,-0.05186246265952278,-0.02857700681781084,-0.0687783591370207,-0.07274287794744004,-0.02098741007130152,0.021186995538396064,0.04034473059607735,0.06585135648331873
9,8,3,104,13,8.0,0,0,1,-0.014981801967482427,-0.0031360334973140397,-0.057209924866804956,-0.12018463177942608,-0.07565568529563572,0.08917915049847068,-0.03897013893029109,0.005165235555053064,-0.07982238406064301,-0.048370392347875414
10,1,3,117,8,5.999999999999999,0,1,0,-0.014981801967482422,-0.002429052761224832,0.014682981078409185,0.06343562799619737,0.008308508210718551,-0.01717785128730545,-0.006214014366722836,-0.039898398823272466,-0.04008270514215851,-0.002711318146085832
11,1,3,72,8,5.999999999999999,0,1,0,-0.014981801967482422,-0.0024290527612248337,-0.005605817585819391,-0.07163861795159966,-0.039209212098195334,-0.009975907610018082,-0.05620270782794732,0.05715491668754516,-0.028628613384813578,-0.06731304232654667
12,3,4,119,7,5.999999999999999,0,1,0,-0.014981801967481757,-0.0009980556086586696,0.002705297730228304,-0.009150418549546143,0.021968835184225644,0.002602458110996971,0.004262930084172187,0.018164638298302838,-0.023763702431021376,0.011858790003254124
13,1,4,105,10,4.0,0,1,0,-0.014981801967482479,-0.0024631241220002213,-0.10510632299766078,-0.10212419850313939,0.10083114741837705,-0.02354360007853579,0.11385051620861447,-0.007938320668261676,-0.01664150720471136,0.04755882189273139
14,1,4,107,10,4.0,0,1,0,-0.014981801967482432,-0.0027442128483971258,-0.018694510674904068,-0.07656730391886514,0.12957909860181205,0.0420851278240407,-0.044859627111661936,-0.05847442066332064,-0.10442341068077307,0.03978264185360694
15,9,4,123,10,4.0,0,1,0,-0.014981801967482528,-0.001696518504554094,-0.04572237292086682,-0.0956493257800261,-0.05219703588239054,-0.03436180812028064,-0.011721120566419293,0.03500002765557881,-0.023590100269633985,-0.015953591831964084
